Player (413),Pos,Age,YOE,Prev Team,Prev AAV,Type,Market ValueAAV
,,,,,,,
Kirk Cousins,QB,37.5,14,ATL,"$45,000,000",UFA,"$10,717,405"
Tyreek Hill,WR,32,10,MIA,"$30,000,000",UFA,"$15,072,087"
Stefon Diggs,WR,32.2,11,NE,"$21,166,667",UFA,"$13,823,010"
Jawaan Taylor,RT,28.2,7,KC,"$20,000,000",UFA,"$14,997,788"
Taylor Decker,LT,32.5,10,DET,"$20,000,000",UFA,"$21,326,582"
Marshon Lattimore,CB,29.8,8,WAS,"$19,520,600",UFA,"$8,474,382"
Trevon Diggs,CB,28.4,5,GB,"$19,400,000",UFA,"$7,536,772"
L'Jarius Sneed,CB,29.1,5,TEN,"$19,100,000",UFA,
Christian Kirk,WR,29.2,8,HOU,"$18,000,000",UFA,"$5,369,564"
Deebo Samuel,WR,30.2,7,WAS,"$17,545,529",UFA,"$15,774,062"
Jonah Williams,RT,28.2,7,ARI,"$15,000,000",UFA,"$10,335,676"
Jack Conklin,RT,31.5,10,CLE,"$15,000,000",UFA,
Joel Bitonio,G,34.4,12,CLE,"$15,000,000",UFA,"$12,905,800"
Kyle Dugger,S,29.9,6,PIT,"$14,500,000",UFA,"$5,948,334"
Wyatt Teller,G,31.2,7,CLE,"$14,200,000",UFA,"$10,170,762"
Haason Reddick,ED,31.4,8,TB,"$14,000,000",UFA,"$4,940,806"
David Njoku,TE,29.7,8,CLE,"$13,687,500",UFA,"$9,991,300"
Aaron Rodgers,QB,42.2,21,PIT,"$13,650,000",UFA,"$10,569,536"
Joey Bosa,ED,30.7,10,BUF,"$12,610,000",UFA,"$13,738,744"
Lloyd Cushenberry,C,28.2,6,TEN,"$12,500,000",UFA,"$7,143,444"
Jonnu Smith,TE,30.5,9,PIT,"$12,010,000",UFA,"$7,302,754"
Cam Robinson,LT,30.4,9,CLE,"$12,000,000",UFA,"$13,133,116"
David Onyemata,DL,33.3,10,ATL,"$11,666,667",UFA,"$8,578,738"
D.J. Reader,DL,31.7,10,DET,"$11,000,000",UFA,"$3,868,313"
Jimmie Ward,FS,34.6,11,HOU,"$10,508,000",UFA,"$1,428,982"
Russell Wilson,QB,37.2,14,NYG,"$10,500,000",UFA,"$5,714,249"
Leonard Floyd,ED,33.5,10,ATL,"$10,000,000",UFA,"$8,902,688"
Denico Autry,ED,35.7,12,HOU,"$10,000,000",UFA,"$2,821,298"
Bobby Okereke,LB,29.6,7,NYG,"$10,000,000",UFA,"$12,126,996"
Taysom Hill,TE,35.5,9,NO,"$10,000,000",UFA,"$2,142,389"
Mekhi Becton,G,26.8,6,LAC,"$10,000,000",UFA,"$13,498,989"
Yetur Gross-Matos,ED,28,6,SF,"$9,000,000",UFA,"$3,502,468"
Bobby Wagner,LB,35.7,14,WAS,"$9,000,000",UFA,"$7,684,822"
Lavonte David,LB,36.1,14,TB,"$9,000,000",UFA,"$7,430,840"
Logan Wilson,LB,29.7,6,DAL,"$9,000,000",UFA,"$2,525,639"
Kevin Zeitler,G,36,14,TEN,"$9,000,000",UFA,"$9,209,008"
Joe Mixon,RB,29.6,9,HOU,"$8,500,000",UFA,"$3,247,005"
Michael Danna,ED,28.2,6,KC,"$8,000,000",UFA,"$4,907,527"
DaQuan Jones,DL,34.2,12,BUF,"$8,000,000",UFA,"$1,783,992"
Curtis Samuel,WR,29.6,9,BUF,"$8,000,000",UFA,"$1,798,908"
James Daniels,G,28.5,8,MIA,"$8,000,000",UFA,"$6,780,135"
Kenneth Murray,LB,27.3,6,DAL,"$7,750,000",UFA,"$4,922,042"
Bilal Nichols,ED,29.5,8,ARI,"$7,000,000",UFA,"$1,065,992"
Donovan Wilson,S,29,8,DAL,"$7,000,000",UFA,"$6,942,556"
Marquise Brown,WR,28.8,7,KC,"$7,000,000",UFA,"$5,521,415"
Larry Ogunjobi,DL,31.8,9,BUF,"$6,696,735",UFA,"$5,032,625"
Graham Glasgow,C,33.5,10,DET,"$6,666,667",UFA,"$5,883,787"
Matt Milano,LB,30.9,9,BUF,"$6,306,500",UFA,"$4,598,821"
D.J. Wonnum,ED,28.3,6,CAR,"$6,250,000",UFA,"$5,694,000"
Zach Ertz,TE,35.3,13,WAS,"$6,250,000",UFA,"$2,231,951"
Von Miller,ED,36.9,15,WAS,"$6,100,000",UFA,"$5,842,864"
Cameron Jordan,ED,36.7,15,NO,"$6,050,000",UFA,"$6,760,982"
Tyquan Lewis,ED,31.1,8,IND,"$6,000,000",UFA,"$2,835,282"
Dante Fowler Jr.,ED,31.6,11,DAL,"$6,000,000",UFA,"$5,139,206"
A.J. Epenesa,ED,27.5,6,BUF,"$6,000,000",UFA,"$6,439,039"
James Hudson,LT,26.8,5,NYG,"$6,000,000",UFA,"$1,201,130"
Zach Wilson,QB,26.6,5,MIA,"$6,000,000",UFA,"$1,626,365"
Tyrod Taylor,QB,36.6,15,NYJ,"$6,000,000",UFA,"$3,955,446"
Ethan Pocic,C,30.6,9,CLE,"$6,000,000",UFA,"$10,597,819"
Jauan Jennings,WR,28.7,5,SF,"$5,945,000",UFA,"$22,614,441"
Alex Cappa,G,31.1,8,LV,"$5,510,000",UFA,"$2,434,063"
Calais Campbell,DL,39.5,18,ARI,"$5,500,000",UFA,"$10,932,760"
Jahlani Tavai,ED,29.4,7,NE,"$5,333,333",UFA,"$2,044,691"
Najee Harris,RB,28,5,LAC,"$5,250,000",UFA,"$2,947,106"
Harrison Smith,S,37.1,14,MIN,"$5,125,000",UFA,"$10,750,535"
Akeem Davis-Gaither,LB,28.4,6,ARI,"$5,000,000",UFA,"$4,990,866"
DeAndre Hopkins,WR,33.8,13,BAL,"$5,000,000",UFA,"$1,487,710"
Joe Tryon,ED,26.8,5,CHI,"$4,755,000",UFA,"$2,466,695"
Mario Edwards,DL,32.1,11,HOU,"$4,750,000",UFA,"$2,262,710"
Will Dissly,TE,29.7,8,LAC,"$4,666,667",UFA,"$5,585,894"
Daniel Carlson,K,31.1,8,LV,"$4,600,000",UFA,"$1,231,971"
Kyle Van Noy,ED,34.9,12,BAL,"$4,500,000",UFA,"$3,505,400"
Shelby Harris,DL,34.6,10,CLE,"$4,500,000",UFA,"$2,920,436"
Joe Flacco,QB,41.2,18,CIN,"$4,250,000",UFA,"$5,596,231"
Ryan Bates,C,29.1,7,CHI,"$4,250,000",UFA,"$1,227,766"
Austin Ekeler,RB,30.8,9,WAS,"$4,215,000",UFA,"$2,871,871"
Derek Barnett,ED,29.7,9,HOU,"$4,000,000",UFA,"$4,405,636"
Anfernee Jennings,ED,28.8,6,NE,"$4,000,000",UFA,"$6,394,370"
Andrew Billings,DL,31,10,CHI,"$4,000,000",UFA,"$2,511,816"
Rakeem Nunez-Roches,DL,32.7,11,NYG,"$4,000,000",UFA,"$4,739,923"
Kelvin Beachum,LT,36.8,14,ARI,"$4,000,000",UFA,"$1,948,556"
Xavier Woods,S,30.6,9,TEN,"$4,000,000",UFA,"$4,894,991"
Yosh Nijman,T,30.1,6,CAR,"$4,000,000",UFA,"$1,038,624"
Antonio Gibson,RB,27.7,6,NE,"$3,750,000",UFA,"$1,145,593"
Robert Jones,G,27.1,5,DAL,"$3,750,000",UFA,"$2,519,810"
Taylor Rapp,S,28.2,7,BUF,"$3,541,667",UFA,"$1,224,031"
Trevor Penning,G,26.8,4,LAC,"$3,535,829",UFA,"$9,872,951"
Greg Gaines,DL,28.8,7,TB,"$3,500,000",UFA,"$2,048,217"
Jadeveon Clowney,ED,33.1,12,DAL,"$3,450,000",UFA,"$5,711,599"
Greg Dortch,WR,27.8,5,ARI,"$3,263,000",UFA,"$1,630,192"
Emmanuel Ogbah,ED,32.3,10,JAX,"$3,250,000",UFA,"$2,418,094"
Cornelius Lucas,LT,34.6,11,CLE,"$3,250,000",UFA,"$3,091,924"
Miles Killebrew,S,32.8,10,PIT,"$3,250,000",UFA,"$1,474,662"
Devin Bush,LB,27.6,7,CLE,"$3,250,000",UFA,"$8,899,904"
Noah Brown,WR,30.2,9,WAS,"$3,250,000",UFA,"$1,998,958"
Greg Van Roten,G,36,11,NYG,"$3,250,000",UFA,"$5,090,582"
Cooper Rush,QB,32.2,9,BAL,"$3,100,000",UFA,
Keenan Allen,WR,33.8,13,LAC,"$3,020,000",UFA,"$6,815,497"
Ifeatu Melifonwu,S,26.8,5,MIA,"$3,010,000",UFA,"$3,660,364"
Elandon Roberts,LB,31.8,10,LV,"$3,010,000",UFA,"$4,213,132"
Jimmy Garoppolo,QB,34.3,12,LAR,"$3,005,000",UFA,"$2,348,385"
Foley Fatukasi,DL,31,8,HOU,"$3,000,000",UFA,"$2,045,262"
Jamie Gillan,P,28.7,7,NYG,"$3,000,000",UFA,
Tre'Davious White,CB,31.2,9,BUF,"$3,000,000",UFA,"$1,203,422"
Austin Corbett,C,30.5,8,CAR,"$3,000,000",UFA,"$1,483,463"
Nick Westbrook,WR,28.9,6,MIA,"$2,995,000",UFA,"$3,126,923"
Bradley Pinion,P,31.8,11,ATL,"$2,883,333",UFA,
Chris Board,LB,30.6,8,NYG,"$2,850,000",UFA,
Daniel Ekuale,DL,32.2,7,PIT,"$2,800,000",UFA,"$1,967,674"
Brady Christensen,G,29.4,5,CAR,"$2,787,500",UFA,"$5,465,478"
Jahan Dotson,WR,25.9,5,PHI,"$2,757,048",UFA,"$2,660,396"
Josh Reynolds,WR,31.1,9,NYJ,"$2,750,000",UFA,"$1,464,059"
Khadarel Hodge,WR,31.2,8,ATL,"$2,750,000",UFA,
Cordell Volson,G,27.6,4,CIN,"$2,600,000",UFA,"$1,420,521"
Payton Turner,ED,27.2,5,DAL,"$2,500,000",UFA,"$1,933,337"
Marcus Davenport,ED,29.5,8,DET,"$2,500,000",UFA,"$1,851,622"
Dean Lowry,DL,31.8,10,PIT,"$2,500,000",UFA,"$1,437,180"
D.J. Humphries,LT,32.2,11,LAR,"$2,500,000",UFA,"$1,213,568"
Isaiah Oliver,S,29.4,8,NYJ,"$2,500,000",UFA,"$2,887,243"
Ashtyn Davis,S,29.4,6,MIA,"$2,500,000",UFA,"$1,817,778"
Christian Rozeboom,LB,29.1,5,CAR,"$2,500,000",UFA,"$3,046,794"
Amen Ogbongbemiga,LB,27.5,5,CHI,"$2,500,000",UFA,"$2,225,954"
Nick Chubb,RB,30.2,8,HOU,"$2,500,000",UFA,"$1,345,882"
Tim Patrick,WR,32.2,8,JAX,"$2,500,000",UFA,"$2,994,045"
Brandon Graham,DL,37.9,15,PHI,"$2,444,444",UFA,"$1,882,943"
Zay Jones,WR,30.9,9,ARI,"$2,400,000",UFA,"$1,305,196"
Jeff Okudah,CB,27.1,6,MIN,"$2,350,000",UFA,"$989,048"
Landon Young,LT,28.5,5,NO,"$2,327,500",UFA,"$2,185,882"
Spencer Burford,LT,25.6,4,SF,"$2,275,000",UFA,"$3,385,242"
Hunter Renfrow,WR,30.2,4,CAR,"$2,225,000",UFA,"$1,036,560"
Liam Eichenberg,G,28.1,4,MIA,"$2,225,000",UFA,"$1,823,004"
Will Hernandez,G,30.5,8,ARI,"$2,170,000",UFA,"$2,047,731"
Jack Cochrane,LB,27.1,4,KC,"$2,100,000",UFA,"$2,062,125"
Tylan Wallace,WR,26.8,5,BAL,"$2,100,000",UFA,"$2,795,281"
Lucas Patrick,G,32.6,9,CIN,"$2,100,000",UFA,"$1,327,480"
Kevin Givens,DL,29,6,SF,"$2,050,000",UFA,"$1,648,607"
Austin Johnson,DL,31.8,10,JAX,"$2,000,000",UFA,"$2,654,962"
Benito Jones,DL,28.2,5,MIA,"$2,000,000",UFA,"$1,316,197"
Joseph Noteboom,LT,30.7,8,BAL,"$2,000,000",UFA,"$1,597,794"
Calvin Anderson,LT,29.9,7,PIT,"$2,000,000",UFA,"$1,742,226"
Justin Skule,LT,29.2,6,MIN,"$2,000,000",UFA,"$2,766,143"
Damar Hamlin,S,27.9,5,BUF,"$2,000,000",UFA,"$1,777,484"
Darren Waller,TE,33.5,8,MIA,"$2,000,000",UFA,"$3,216,168"
Josh Paschal,ED,26.2,3,DET,"$1,933,913",UFA,"$1,674,440"
Nazeeh Johnson,CB,27.6,4,KC,"$1,900,000",UFA,"$1,189,055"
Kurt Hinish,DL,26.8,3,HOU,"$1,800,000",UFA,"$1,207,829"
Dare Ogunbowale,RB,31.8,7,HOU,"$1,800,000",UFA,"$1,116,233"
Braxton Berrios,WR,30.4,8,HOU,"$1,800,000",UFA,"$1,094,614"
Jerry Tillery,DL,29.4,7,KC,"$1,790,000",UFA,"$2,867,054"
Adoree' Jackson,CB,30.4,9,PHI,"$1,755,000",UFA,"$1,846,126"
Travis Homer,RB,27.6,7,CHI,"$1,750,000",UFA,"$1,555,457"
Sterling Shepard,WR,33.1,10,TB,"$1,750,000",UFA,"$3,313,695"
Danny Pinter,C,29.7,6,IND,"$1,667,500",UFA,"$2,399,007"
Isaiahh Loudermilk,DL,28.4,5,PIT,"$1,627,500",UFA,"$1,197,147"
Skyy Moore,WR,25.5,4,SF,"$1,612,625",UFA,"$1,787,629"
Sam Martin,P,36,13,CAR,"$1,600,000",UFA,
Kris Boyd,CB,29.5,7,NYJ,"$1,600,000",UFA,"$1,157,147"
Raheem Mostert,RB,33.9,10,LV,"$1,600,000",UFA,"$1,290,219"
Rasul Douglas,CB,31.5,9,MIA,"$1,572,500",UFA,"$4,018,154"
Charlie Heck,RT,29.2,6,TB,"$1,570,000",UFA,"$1,737,437"
Ian Thomas,TE,29.8,8,LV,"$1,524,500",UFA,"$1,337,443"
Dawuane Smoot,ED,31,9,JAX,"$1,500,000",UFA,"$1,469,138"
Daniel Thomas,S,27.7,6,DET,"$1,500,000",UFA,"$2,584,249"
Germaine Pratt,LB,29.8,7,IND,"$1,500,000",UFA,"$2,874,172"
Jack Sanborn,LB,25.6,4,DAL,"$1,500,000",UFA,"$2,135,488"
Kareem Hunt,RB,30.6,9,KC,"$1,500,000",UFA,"$1,944,523"
John FitzPatrick,TE,26,4,GB,"$1,500,000",UFA,"$1,200,435"
Cam Taylor-Britt,CB,26.4,4,CIN,"$1,488,182",UFA,"$9,162,200"
Feleipe Franks,TE,28.2,5,ATL,"$1,440,000",UFA,"$1,188,644"
Kendall Lamm,RT,33.8,10,MIA,"$1,425,000",UFA,"$1,944,198"
Jonathan Bullard,DL,32.3,10,NO,"$1,422,500",UFA,"$1,990,897"
Andrus Peat,RT,32.3,11,PIT,"$1,422,500",UFA,"$1,972,163"
Johnny Hekker,P,36.1,14,TEN,"$1,422,500",UFA,
Chuck Clark,S,30.8,9,PIT,"$1,422,500",UFA,"$1,460,232"
Rayshawn Jenkins,S,32.1,8,CLE,"$1,422,500",UFA,"$1,147,766"
Avonte Maddox,CB,29.9,8,DET,"$1,422,500",UFA,"$1,655,759"
Jerome Baker,LB,29.2,8,CLE,"$1,422,500",UFA,"$1,733,720"
Carson Wentz,QB,33.2,10,MIN,"$1,422,500",UFA,
Brandon Allen,QB,33.5,9,TEN,"$1,422,500",UFA,
Michael Burton,FB,34.1,11,DEN,"$1,422,500",UFA,
JuJu Smith-Schuster,WR,29.2,9,KC,"$1,422,500",UFA,"$2,156,402"
Deandre Carter,WR,32.9,8,CLE,"$1,422,500",UFA,"$1,439,436"
Jihad Ward,DL,31.8,10,TEN,"$1,405,000",UFA,"$4,079,489"
Kayode Awosika,G,27.3,4,DET,"$1,400,000",UFA,"$2,860,588"
Joshua Ezeudu,G,26.4,4,NYG,"$1,371,381",UFA,"$1,632,973"
Martin Emerson,CB,25.4,4,CLE,"$1,367,822",UFA,
Artie Burns,CB,30.8,10,MIA,"$1,355,000",UFA,
Stone Smartt,TE,27.4,4,NYJ,"$1,350,000",UFA,"$1,424,723"
Victor Dimukeje,ED,26.2,5,NYG,"$1,337,500",UFA,"$1,106,472"
Fred Johnson,LT,28.8,7,PHI,"$1,337,500",UFA,"$1,509,370"
Kindle Vildor,CB,28.2,6,TB,"$1,337,500",UFA,"$1,586,992"
Demetrius Flannigan-Fowles,LB,29.5,6,NYG,"$1,337,500",UFA,"$1,991,214"
Alexander Mattison,RB,27.7,7,MIA,"$1,337,500",UFA,"$1,444,736"
