team,position,count,probability,moneyline
ARI,EDGE,3502,0.7004,-234
ARI,OT,914,0.1828,+447
ARI,LB,473,0.0946,+957
ARI,RB,69,0.0138,+7146
ARI,WR,21,0.0042,+23710
ARI,CB,19,0.0038,+26216
ARI,S,2,0.0004,+249900
BAL,WR,1843,0.3686,+171
BAL,IOL,1196,0.2392,+318
BAL,TE,902,0.1804,+454
BAL,OT,434,0.0868,+1052
BAL,EDGE,273,0.0546,+1732
BAL,RB,143,0.0286,+3397
BAL,CB,94,0.0188,+5219
BAL,S,92,0.0184,+5335
BAL,DT,14,0.0028,+35614
BAL,LB,8,0.0016,+62400
BAL,QB,1,0.0002,+499900
BUF,WR,2015,0.403,+148
BUF,EDGE,1824,0.3648,+174
BUF,S,352,0.0704,+1320
BUF,DT,313,0.0626,+1497
BUF,IOL,246,0.0492,+1933
BUF,LB,106,0.0212,+4617
BUF,OT,82,0.0164,+5998
BUF,CB,34,0.0068,+14606
BUF,TE,26,0.0052,+19131
BUF,QB,2,0.0004,+249900
CAR,EDGE,1462,0.2924,+242
CAR,TE,1212,0.2424,+313
CAR,DT,909,0.1818,+450
CAR,OT,662,0.1324,+655
CAR,WR,492,0.0984,+916
CAR,CB,126,0.0252,+3868
CAR,S,63,0.0126,+7837
CAR,IOL,49,0.0098,+10104
CAR,LB,16,0.0032,+31150
CAR,RB,9,0.0018,+55456
CHI,DT,2837,0.5674,-131
CHI,S,1604,0.3208,+212
CHI,CB,131,0.0262,+3717
CHI,WR,127,0.0254,+3837
CHI,EDGE,91,0.0182,+5395
CHI,OT,91,0.0182,+5395
CHI,LB,54,0.0108,+9159
CHI,TE,40,0.008,+12400
CHI,IOL,24,0.0048,+20733
CHI,QB,1,0.0002,+499900
CIN,S,2500,0.5,-100
CIN,LB,1093,0.2186,+357
CIN,OT,516,0.1032,+869
CIN,RB,238,0.0476,+2001
CIN,IOL,188,0.0376,+2560
CIN,WR,182,0.0364,+2647
CIN,CB,179,0.0358,+2693
CIN,EDGE,92,0.0184,+5335
CIN,TE,12,0.0024,+41567
CLE,WR,4434,0.8868,-783
CLE,OT,3971,0.7942,-386
CLE,EDGE,416,0.0832,+1102
CLE,IOL,328,0.0656,+1424
CLE,S,172,0.0344,+2807
CLE,LB,165,0.033,+2930
CLE,CB,142,0.0284,+3421
CLE,DT,125,0.025,+3900
CLE,RB,122,0.0244,+3998
CLE,TE,77,0.0154,+6394
CLE,QB,48,0.0096,+10317
DAL,CB,3976,0.7952,-388
DAL,EDGE,2097,0.4194,+138
DAL,S,1355,0.271,+269
DAL,OT,798,0.1596,+527
DAL,LB,674,0.1348,+642
DAL,DT,446,0.0892,+1021
DAL,WR,284,0.0568,+1661
DAL,RB,176,0.0352,+2741
DAL,IOL,105,0.021,+4662
DAL,TE,89,0.0178,+5518
DET,OT,4205,0.841,-529
DET,DT,313,0.0626,+1497
DET,EDGE,215,0.043,+2226
DET,S,81,0.0162,+6073
DET,TE,48,0.0096,+10317
DET,CB,39,0.0078,+12721
DET,IOL,32,0.0064,+15525
DET,RB,32,0.0064,+15525
DET,WR,28,0.0056,+17757
DET,LB,7,0.0014,+71329
HOU,DT,2351,0.4702,+113
HOU,OT,1883,0.3766,+166
HOU,IOL,208,0.0416,+2304
HOU,WR,153,0.0306,+3168
HOU,EDGE,111,0.0222,+4405
HOU,CB,89,0.0178,+5518
HOU,LB,79,0.0158,+6229
HOU,S,64,0.0128,+7712
HOU,TE,56,0.0112,+8829
HOU,QB,6,0.0012,+83233
KC,EDGE,2709,0.5418,-118
KC,CB,2329,0.4658,+115
KC,OT,2122,0.4244,+136
KC,WR,1626,0.3252,+208
KC,S,851,0.1702,+488
KC,LB,134,0.0268,+3631
KC,RB,103,0.0206,+4754
KC,DT,67,0.0134,+7363
KC,TE,42,0.0084,+11805
KC,IOL,14,0.0028,+35614
KC,QB,3,0.0006,+166567
LAC,EDGE,1694,0.3388,+195
LAC,DT,1096,0.2192,+356
LAC,WR,775,0.155,+545
LAC,IOL,661,0.1322,+656
LAC,S,526,0.1052,+851
LAC,OT,149,0.0298,+3256
LAC,CB,46,0.0092,+10770
LAC,TE,31,0.0062,+16029
LAC,LB,21,0.0042,+23710
LAC,RB,1,0.0002,+499900
LAR,OT,2377,0.4754,+110
LAR,WR,2299,0.4598,+117
LAR,RB,94,0.0188,+5219
LAR,CB,53,0.0106,+9334
LAR,S,50,0.01,+9900
LAR,EDGE,41,0.0082,+12095
LAR,IOL,28,0.0056,+17757
LAR,LB,28,0.0056,+17757
LAR,TE,28,0.0056,+17757
LAR,DT,1,0.0002,+499900
LAR,QB,1,0.0002,+499900
LV,QB,5000,1.0,-inf
MIA,WR,3566,0.7132,-249
MIA,CB,2523,0.5046,-102
MIA,EDGE,1468,0.2936,+241
MIA,S,697,0.1394,+617
MIA,TE,553,0.1106,+804
MIA,IOL,469,0.0938,+966
MIA,OT,324,0.0648,+1443
MIA,DT,140,0.028,+3471
MIA,LB,134,0.0268,+3631
MIA,RB,109,0.0218,+4487
MIA,QB,17,0.0034,+29312
MIN,S,3133,0.6266,-168
MIN,CB,990,0.198,+405
MIN,DT,331,0.0662,+1411
MIN,OT,187,0.0374,+2574
MIN,EDGE,114,0.0228,+4286
MIN,RB,114,0.0228,+4286
MIN,TE,53,0.0106,+9334
MIN,IOL,39,0.0078,+12721
MIN,WR,35,0.007,+14186
MIN,LB,4,0.0008,+124900
NE,EDGE,1852,0.3704,+170
NE,DT,1127,0.2254,+344
NE,OT,791,0.1582,+532
NE,WR,715,0.143,+599
NE,TE,213,0.0426,+2247
NE,LB,162,0.0324,+2986
NE,CB,93,0.0186,+5276
NE,S,23,0.0046,+21639
NE,IOL,12,0.0024,+41567
NE,QB,11,0.0022,+45355
NE,RB,1,0.0002,+499900
NO,CB,1869,0.3738,+168
NO,WR,1390,0.278,+260
NO,EDGE,1194,0.2388,+319
NO,RB,177,0.0354,+2725
NO,OT,160,0.032,+3025
NO,LB,157,0.0314,+3085
NO,S,47,0.0094,+10538
NO,TE,4,0.0008,+124900
NO,IOL,2,0.0004,+249900
NYG,LB,1538,0.3076,+225
NYG,WR,907,0.1814,+451
NYG,OT,879,0.1758,+469
NYG,RB,756,0.1512,+561
NYG,S,756,0.1512,+561
NYG,EDGE,145,0.029,+3348
NYG,CB,19,0.0038,+26216
NYJ,EDGE,5187,1.0374,-inf
NYJ,WR,1331,0.2662,+276
NYJ,CB,994,0.1988,+403
NYJ,IOL,853,0.1706,+486
NYJ,OT,733,0.1466,+582
NYJ,LB,325,0.065,+1438
NYJ,S,211,0.0422,+2270
NYJ,RB,138,0.0276,+3523
NYJ,TE,126,0.0252,+3868
NYJ,QB,75,0.015,+6567
NYJ,DT,27,0.0054,+18419
PHI,OT,1982,0.3964,+152
PHI,EDGE,1211,0.2422,+313
PHI,WR,1092,0.2184,+358
PHI,S,438,0.0876,+1042
PHI,TE,196,0.0392,+2451
PHI,DT,23,0.0046,+21639
PHI,IOL,21,0.0042,+23710
PHI,CB,20,0.004,+24900
PHI,LB,16,0.0032,+31150
PHI,RB,1,0.0002,+499900
PIT,OT,3243,0.6486,-185
PIT,CB,732,0.1464,+583
PIT,WR,548,0.1096,+812
PIT,IOL,276,0.0552,+1712
PIT,EDGE,59,0.0118,+8375
PIT,QB,37,0.0074,+13414
PIT,TE,31,0.0062,+16029
PIT,S,28,0.0056,+17757
PIT,RB,20,0.004,+24900
PIT,DT,13,0.0026,+38362
PIT,LB,13,0.0026,+38362
SEA,EDGE,2396,0.4792,+109
SEA,CB,2075,0.415,+141
SEA,DT,121,0.0242,+4032
SEA,WR,96,0.0192,+5108
SEA,LB,87,0.0174,+5647
SEA,OT,81,0.0162,+6073
SEA,IOL,62,0.0124,+7965
SEA,S,37,0.0074,+13414
SEA,TE,25,0.005,+19900
SEA,QB,11,0.0022,+45355
SEA,RB,9,0.0018,+55456
SF,WR,1882,0.3764,+166
SF,OT,1697,0.3394,+195
SF,EDGE,678,0.1356,+637
SF,S,316,0.0632,+1482
SF,IOL,188,0.0376,+2560
SF,CB,102,0.0204,+4802
SF,DT,51,0.0102,+9704
SF,LB,45,0.009,+11011
SF,TE,33,0.0066,+15052
SF,QB,8,0.0016,+62400
TB,EDGE,2592,0.5184,-108
TB,CB,910,0.182,+449
TB,TE,895,0.179,+459
TB,IOL,272,0.0544,+1738
TB,OT,185,0.037,+2603
TB,RB,67,0.0134,+7363
TB,S,39,0.0078,+12721
TB,WR,33,0.0066,+15052
TB,LB,5,0.001,+99900
TB,DT,2,0.0004,+249900
TEN,EDGE,1962,0.3924,+155
TEN,RB,1884,0.3768,+165
TEN,LB,546,0.1092,+816
TEN,WR,536,0.1072,+833
TEN,OT,56,0.0112,+8829
TEN,CB,10,0.002,+49900
TEN,S,6,0.0012,+83233
WAS,EDGE,2173,0.4346,+130
WAS,WR,960,0.192,+421
WAS,RB,750,0.15,+567
WAS,LB,572,0.1144,+774
WAS,S,366,0.0732,+1266
WAS,OT,98,0.0196,+5002
WAS,CB,79,0.0158,+6229
WAS,IOL,2,0.0004,+249900
